Word,Category
rai,politics
guerra,sentiment
pubblicita,business
impero,business
espande,verb
attività,other
finanziaria,politics
rizzoli,business
scende,verb
pista,other
divorzio,event
affare,business
miliardi,politics
ndrangheta,politics
voleva,verb
rapire,verb
fininvest,business
aumenta,verb
capitale,business
firmato,verb
trattato,verb
pace,sentiment
mondadori,business
venti,other
aprono,verb
racconta,verb
savoia,person
vuol,verb
entrare,verb
forze,sentiment
francia,location
legge,politics
tv,other
decreto,politics
europa,location
solo,sentiment
piace,verb
critica,verb
raccogliere,verb
respinto,verb
ricorso,verb
tribune,politics
politiche,politics
meter,other
convincerli,verb
dc,politics
blocca,verb
camera,politics
costituzionale,politics
terzo,other
fellini,person
ferma,verb
spot,business
serve,verb
satellite,business
inglesi,location
caso,sentiment
bettega,person
milan,business
presidente,politics
europea,location
cinq,business
accordo,sentiment
francese,location
milano,location
agnelli,person
diretta,other
magistrato,legal
diffida,verb
rivera,person
parigi,location
subito,other
madrid,location
chirac,person
chiede,verb
pci,politics
parla,verb
pronto,sentiment
craxi,person
tanzi,person
frena,verb
supervalutato,verb
sara,person
germania,location
insieme,sentiment
giornale,business
rete,business
batte,verb
reti,business
chiama,verb
nuovo,other
proposta,verb
star,sentiment
agnes,person
enrica,person
film,business
sfida,verb
comprare,verb
scelto,sentiment
arriva,verb
crisi,sentiment
gioco,sentiment
standa,other
tg,other
costanzo,person
nessun,other
incontro,verb
compra,verb
autunno,other
piano,other
calcio,business
piani,other
supera,verb
gianni,person
classifica,other
super,sentiment
ricchi,sentiment
pippo,person
scambio,verb
hersant,person
rinascente,business
cecchi,person
gori,person
smentisce,verb
giornalisti,other
felice,sentiment
amef,other
alleato,sentiment
bouygues,person
attacca,verb
parretti,person
cinema,other
spagna,location
punta,verb
governo,politics
vieta,verb
cuccia,person
passa,verb
summit,politics
attesa,verb
benedetti,person
cir,other
perde,verb
entra,verb
rompera,verb
partner,sentiment
febbre,sentiment
alta,other
lungo,other
ospedale,other
bloccato,verb
roy,person
ajax,business
conquista,verb
spagnola,location
nuova,sentiment
hollywood,location
concessioni,business
mammi,person
zeffirelli,person
sacchi,person
carnevale,other
venezia,other
accuse,verb
arbitro,other
cerca,verb
alibi,sentiment
riparla,verb
spartizione,verb
vende,verb
ultimatum,sentiment
vertice,politics
riapre,verb
re,sentiment
channel,business
esame,sentiment
leonardo,person
segrate,location
mgm,business
stranieri,location
inglese,location
fronte,sentiment
mercato,sentiment
decide,verb
regole,sentiment
sale,verb
five,business
editori,business
vetrina,sentiment
paolo,person
battezzare,verb
salva,verb
opzione,other
esalta,verb
piazza,other
editore,business
lega,politics
partito,politics
gs,other
guai,sentiment
ministro,politics
affari,sentiment
grande,sentiment
borsa,business
caccia,verb
consiglio,politics
giro,other
processo,legal
tangenti,legal
grazie,sentiment
replica,verb
politici,politics
uomo,sentiment
bossi,person
fini,person
premier,politics
giudici,legal
scalfaro,person
pietro,person
an,politics
roma,location
pool,legal
miglio,other
gia,other
caro,sentiment
ultima,other
basta,sentiment
parola,other
rischia,verb
avviso,sentiment
prodi,person
dini,person
polo,politics
alema,person
patto,sentiment
voto,politics
rocco,person
pds,politics
ppi,politics
biagi,person
torna,verb
elezioni,politics
leader,sentiment
accusa,verb
disse,verb
addio,sentiment
massimo,person
tabarez,person
utri,person
costituente,politics
riforme,politics
mediaset,business
rilancia,verb
indagato,legal
ricatto,verb
fatto,verb
letta,person
dotti,person
giustizia,politics
bicamerale,politics
cossiga,person
attacco,verb
pensa,verb
amico,sentiment
conferma,verb
mafia,politics
ferrara,person
centro,politics
dice,verb
ppe,politics
dialogo,sentiment
lite,sentiment
veltroni,person
voti,politics
alza,verb
apre,verb
capello,person
referendum,politics
quirinale,politics
iberian,business
elettorale,politics
bonino,person
segni,other
ciampi,person
giudizio,sentiment
rilancio,sentiment
ds,politics
rutelli,person
amato,person
sinistra,politics
porta,other
votare,verb
storace,person
mastella,person
comunisti,politics
sindaco,politics
par,other
bush,person
genova,location
conflitto,sentiment
rosso,other
libro,other
incontra,verb
ue,location
fiat,politics
sindacati,politics
casini,person
alleati,politics
tasse,politics
scrive,verb
sme,politics
cofferati,person
esteri,politics
iraq,location
pensioni,politics
putin,person
cena,verb
udc,politics
tagli,politics
riforma,politics
follini,person
verifica,verb
ulivo,politics
sì,other
avanti,sentiment
fazio,person
regionali,politics
scontro,sentiment
formigoni,person
moratti,person
cdl,politics
duello,sentiment
usa,location
politica,politics
unipol,business
pm,legal
show,verb
interessi,sentiment
vita,sentiment
pd,politics
alitalia,politics
walter,person
pdl,politics
intercettazioni,legal
rifiuti,politics
napolitano,person
stampa,other
obama,person
foto,oy
repubblica,other
giornali,other
noemi,person
times,other
estera,politics
escort,legal
bersani,person
finiani,politics
fiducia,politics
fli,politics
ruby,person
tremonti,person
donne,sentiment
colle,politics
alfano,person
monti,person
manovra,politics
tarantini,person
primarie,politics
ritorno,sentiment
campo,politics
soldi,other
mills,person
grillo,person
decadenza,sentiment
rnews,business
renzi,person
giunta,legal
imu,politics
senato,politics
sentenza,legal
fi,politics
europee,politics
italicum,politics
servizi,legal
sociali,legal
fitto,person
matteo,person
seedorf,person
barbara,person
inzaghi,person
salvini,person
bee,business
centrodestra,politics
verdini,person
candidato,politics
reptv,other
milioni,politics
bertolaso,person
parisi,person
meloni,person
marchini,person
cinesi,location
mihajlovic,person
comunali,politics
napoli,location
operato,event
sicilia,location
arcore,location
alleanza,politics
maio,person
monza,location
consultazioni,politics
foa,person
sorrentino,person
casellati,person
toti,person
carfagna,person
futuro,sentiment
bene,sentiment
corsa,sentiment
pier,person
ter,politics
bari,location
covid,event
coronavirus,event
mes,politics
positivo,sentiment
conte,person
zangrillo,person
destra,politics
mano,other
marina,person
santelli,person
draghi,person
unico,other
fdi,politics
fascina,person
ucraina,location
tajani,person
funerali,event
raffaele,person
morte,event
ricoverato,event
zelensky,person
figli,other
schlein,person
ricovero,event