,Year,Word,Frequency,Category
617,2004,attacco,17,person
618,2004,tagli,17,politics
619,2004,riforma,16,sentiment
620,2004,bush,16,person
621,2004,follini,16,person
622,2004,calcio,16,business
623,2004,milan,15,business
624,2004,verifica,15,other
625,2004,ulivo,15,politics
626,2004,ciampi,15,sentiment
627,2004,dice,15,verb
628,2004,sì,15,other
629,2004,avanti,15,business
630,2005,casini,26,person
631,2005,prodi,25,person
632,2005,follini,24,person
633,2005,governo,23,politics
634,2005,lega,20,politics
635,2005,attacca,18,sentiment
636,2005,an,16,person
637,2005,fazio,16,person
638,2005,voto,16,politics
639,2005,solo,14,sentiment
640,2005,attacco,14,person
641,2005,regionali,13,location
642,2005,scontro,13,sentiment
643,2005,sfida,13,sentiment
644,2005,udc,13,politics
645,2005,fini,12,person
646,2005,scrive,11,verb
647,2005,premier,11,politics
648,2005,nuovo,11,other
649,2005,ue,11,sentiment
650,2005,formigoni,10,person
651,2005,sì,10,other
652,2005,vertice,10,business
653,2005,bossi,10,person
654,2005,sinistra,10,politics
655,2005,ciampi,10,sentiment
656,2005,tv,10,other
657,2005,moratti,10,person
658,2005,cdl,9,politics
659,2005,frena,9,person
660,2006,prodi,113,person
661,2006,tv,48,other
662,2006,cdl,35,politics
663,2006,casini,34,person
664,2006,attacca,34,sentiment
665,2006,scontro,27,sentiment
666,2006,fini,24,person
667,2006,sinistra,21,politics
668,2006,governo,20,politics
669,2006,duello,19,person
670,2006,usa,19,politics
671,2006,solo,16,sentiment
672,2006,sfida,16,sentiment
673,2006,ciampi,16,sentiment
674,2006,caso,15,sentiment
675,2006,politica,15,politics
676,2006,attacco,15,person
677,2006,voto,15,politics
678,2006,quirinale,15,politics
679,2006,unipol,14,business
680,2006,ds,14,politics
681,2006,sì,13,other
682,2006,bossi,13,person
683,2006,piazza,13,other
684,2006,tasse,11,politics
685,2006,processo,11,legal
686,2006,pm,11,legal
687,2006,show,11,legal
688,2006,crisi,11,sentiment
689,2006,leader,11,sentiment
690,2007,prodi,43,person
691,2007,fini,41,person
692,2007,casini,31,person
693,2007,attacca,22,sentiment
694,2007,cdl,22,politics
695,2007,governo,21,politics
696,2007,veltroni,20,politics
697,2007,piazza,17,other
698,2007,riforme,16,politics
699,2007,legge,16,legal
700,2007,partito,15,sentiment
701,2007,solo,14,sentiment
702,2007,tv,13,other
703,2007,premier,12,politics
704,2007,alleati,12,politics
705,2007,frena,11,person
706,2007,bossi,11,person
707,2007,sì,11,other
708,2007,politica,10,politics
709,2007,elettorale,10,location
710,2007,milan,10,business
711,2007,leader,9,sentiment
712,2007,dialogo,9,person
713,2007,rai,9,business
714,2007,sinistra,9,politics
715,2007,interessi,8,sentiment
716,2007,nuovo,8,other
717,2007,vita,8,other
718,2007,voto,8,politics
719,2007,dice,8,verb
720,2008,veltroni,92,politics
721,2008,pd,72,politics
722,2008,governo,45,politics
723,2008,attacca,44,sentiment
724,2008,tv,40,other
725,2008,alitalia,40,politics
726,2008,scontro,37,sentiment
727,2008,walter,37,person
728,2008,duello,36,person
729,2008,dialogo,35,person
730,2008,pdl,32,politics
731,2008,bossi,30,person
732,2008,solo,29,sentiment
733,2008,intercettazioni,27,business
734,2008,sì,27,other
735,2008,riforme,26,politics
736,2008,pietro,26,person
737,2008,rifiuti,25,politics
738,2008,giustizia,24,sentiment
739,2008,lega,24,politics
740,2008,napolitano,22,politics
741,2008,casini,20,person
742,2008,torna,20,sentiment
743,2008,piazza,19,other
744,2008,voto,19,politics
745,2008,nuovo,19,other
746,2008,crisi,19,sentiment
747,2008,attacco,19,person
748,2008,premier,19,politics
749,2008,sfida,18,sentiment
750,2009,pdl,61,politics
751,2009,fini,60,person
752,2009,pd,56,politics
753,2009,attacca,46,sentiment
754,2009,stampa,43,other
755,2009,premier,37,politics
756,2009,solo,28,sentiment
757,2009,obama,28,person
758,2009,sì,27,other
759,2009,governo,27,politics
760,2009,napolitano,27,politics
761,2009,bossi,25,person
762,2009,tv,22,other
763,2009,rai,22,business
764,2009,piano,21,politics
765,2009,foto,21,other
766,2009,giudici,21,other
767,2009,show,20,legal
768,2009,repubblica,20,other
769,2009,lega,19,politics
770,2009,giornali,19,other
771,2009,noemi,19,person
772,2009,times,19,other
773,2009,estera,19,politics
774,2009,crisi,18,sentiment
775,2009,pm,18,legal
776,2009,escort,18,politics
777,2009,frena,17,person
778,2009,caso,17,sentiment
779,2009,attacco,17,person
780,2010,fini,170,person
781,2010,pdl,132,politics
782,2010,governo,77,politics
783,2010,bossi,63,person
784,2010,bersani,57,person
785,2010,solo,56,sentiment
786,2010,attacca,54,sentiment
787,2010,pd,49,politics
788,2010,voto,45,politics
789,2010,premier,40,politics
790,2010,finiani,39,politics
791,2010,scontro,37,sentiment
792,2010,fiducia,37,person
793,2010,riforme,36,politics
794,2010,napolitano,33,politics
795,2010,avanti,33,business
796,2010,nuovo,32,other
797,2010,casini,32,person
798,2010,fli,30,politics
799,2010,crisi,29,sentiment
800,2010,legge,29,legal
801,2010,elezioni,28,politics
802,2010,sfida,27,sentiment
803,2010,giustizia,26,sentiment
804,2010,basta,26,sentiment
805,2010,udc,25,politics
806,2010,putin,24,business
807,2010,piazza,24,other
808,2010,pm,24,legal
809,2010,camera,24,politics
810,2011,bossi,92,person
811,2011,pm,89,legal
812,2011,pdl,85,politics
813,2011,governo,76,politics
814,2011,premier,72,politics
815,2011,attacca,63,sentiment
816,2011,solo,59,sentiment
817,2011,bersani,58,person
818,2011,ruby,55,person
819,2011,lega,54,politics
820,2011,tremonti,53,person
821,2011,napolitano,52,politics
822,2011,pd,51,politics
823,2011,voto,47,politics
824,2011,fini,44,person
825,2011,processo,41,legal
826,2011,milano,38,other
827,2011,donne,37,person
828,2011,colle,37,politics
829,2011,alfano,37,person
830,2011,quirinale,36,politics
831,2011,monti,36,person
832,2011,caso,35,sentiment
833,2011,piazza,35,other
834,2011,sfida,35,sentiment
835,2011,manovra,34,politics
836,2011,crisi,32,sentiment
837,2011,giudici,30,other
838,2011,tarantini,30,person
839,2011,giustizia,29,sentiment
840,2012,pdl,159,politics
841,2012,monti,131,person
842,2012,alfano,68,person
843,2012,ruby,59,person
844,2012,lega,39,politics
845,2012,nuovo,38,other
846,2012,primarie,38,politics
847,2012,governo,37,politics
848,2012,premier,36,politics
849,2012,ritorno,36,verb
850,2012,tv,36,other
851,2012,bersani,35,person
852,2012,campo,34,other
853,2012,pd,33,politics
854,2012,processo,30,legal
855,2012,milan,30,business
856,2012,pm,30,legal
857,2012,solo,28,sentiment
858,2012,casini,27,person
859,2012,bossi,26,person
860,2012,soldi,26,politics
861,2012,caso,26,sentiment
862,2012,torna,24,sentiment
863,2012,politica,23,politics
864,2012,basta,22,sentiment
865,2012,mediaset,22,business
866,2012,legge,21,legal
867,2012,mills,20,person
868,2012,grillo,20,other
869,2012,addio,20,politics
870,2013,pdl,228,politics
871,2013,governo,167,politics
872,2013,pd,161,politics
873,2013,decadenza,149,verb
874,2013,letta,109,business
875,2013,monti,108,person
876,2013,alfano,99,person
877,2013,voto,99,politics
878,2013,rnews,98,politics
879,2013,bersani,92,person
880,2013,crisi,79,sentiment
881,2013,grillo,75,other
882,2013,napolitano,68,politics
883,2013,renzi,62,person
884,2013,milan,59,business
885,2013,solo,58,sentiment
886,2013,ruby,56,person
887,2013,giunta,55,legal
888,2013,imu,54,politics
889,2013,senato,53,person
890,2013,piazza,51,other
891,2013,colle,50,politics
892,2013,mediaset,50,business
893,2013,processo,46,legal
894,2013,legge,44,legal
895,2013,elezioni,43,politics
896,2013,sentenza,43,politics
897,2013,attacca,42,sentiment
898,2013,tv,42,other
899,2013,caso,42,sentiment
900,2014,renzi,221,person
901,2014,riforme,79,politics
902,2014,milan,74,business
903,2014,rnews,67,politics
904,2014,fi,63,politics
905,2014,grillo,63,other
906,2014,pd,56,politics
907,2014,legge,48,legal
908,2014,europee,48,location
909,2014,italicum,48,politics
910,2014,patto,47,sentiment
911,2014,governo,47,politics
912,2014,servizi,45,politics
913,2014,ruby,41,person
914,2014,senato,41,person
915,2014,processo,40,legal
916,2014,elettorale,40,location
917,2014,premier,39,politics
918,2014,sociali,38,politics
919,2014,solo,36,sentiment
920,2014,fitto,33,person
921,2014,matteo,31,person
922,2014,incontro,30,person
923,2014,sì,29,other
924,2014,seedorf,29,person
925,2014,barbara,28,location
926,2014,inzaghi,28,person
927,2014,giudici,28,other
928,2014,colle,28,politics
929,2014,politica,26,politics
930,2015,renzi,141,person
931,2015,milan,101,business
932,2015,salvini,96,person
933,2015,fitto,60,person
934,2015,ruby,43,person
935,2015,pd,42,politics
936,2015,fi,36,politics
937,2015,riforme,33,politics
938,2015,lega,30,politics
939,2015,bee,27,business
940,2015,processo,26,legal
941,2015,solo,26,sentiment
942,2015,quirinale,23,politics
943,2015,alfano,23,person
944,2015,centrodestra,22,politics
945,2015,patto,22,sentiment
946,2015,premier,22,politics
947,2015,sì,22,other
948,2015,sinistra,21,politics
949,2015,nuovo,20,other
950,2015,verdini,20,person
951,2015,escort,20,politics
952,2015,milano,20,other
953,2015,candidato,19,legal
954,2015,campo,18,other
955,2015,reptv,18,other
956,2015,fuori,18,politics
957,2015,sfida,17,sentiment
958,2015,milioni,17,person
959,2015,primarie,16,politics
960,2016,milan,106,business
961,2016,salvini,61,person
962,2016,roma,60,other
963,2016,renzi,45,person
964,2016,bertolaso,40,person
965,2016,parisi,37,person
966,2016,meloni,32,person
967,2016,milano,30,other
968,2016,solo,28,sentiment
969,2016,fi,24,politics
970,2016,referendum,24,person
971,2016,centrodestra,21,politics
972,2016,marchini,21,person
973,2016,cinesi,20,location
974,2016,mihajlovic,18,person
975,2016,sì,18,other
976,2016,comunali,17,politics
977,2016,mediaset,17,business
978,2016,elezioni,15,politics
979,2016,leader,15,sentiment
980,2016,napoli,14,person
981,2016,escort,14,politics
982,2016,politica,13,politics
983,2016,tv,13,other
984,2016,nuovo,12,other
985,2016,partito,12,sentiment
986,2016,porta,12,politics
987,2016,campo,12,other
988,2016,processo,12,legal
989,2016,operato,12,
990,2017,salvini,91,person
991,2017,renzi,55,person
992,2017,pd,36,politics
993,2017,centrodestra,33,politics
994,2017,legge,28,legal
995,2017,elettorale,27,location
996,2017,milan,26,business
997,2017,milano,25,other
998,2017,sicilia,25,location
999,2017,elezioni,23,politics
1000,2017,voto,19,politics
1001,2017,premier,18,politics
1002,2017,grillo,17,other
1003,2017,torna,17,sentiment
1004,2017,lega,16,politics
1005,2017,candidato,16,legal
1006,2017,governo,16,politics
1007,2017,milioni,15,person
1008,2017,solo,15,sentiment
1009,2017,patto,15,sentiment
1010,2017,basta,15,sentiment
1011,2017,ruby,14,person
1012,2017,regionali,14,location
1013,2017,mediaset,13,business
1014,2017,sinistra,13,politics
1015,2017,arcore,12,legal
1016,2017,alleanza,12,politics
1017,2017,processo,12,legal
1018,2017,fi,12,politics
1019,2017,sì,12,other
1020,2018,salvini,200,person
1021,2018,governo,94,politics
1022,2018,maio,74,person
1023,2018,elezioni,56,politics
1024,2018,lega,56,politics
1025,2018,renzi,49,person
1026,2018,centrodestra,48,politics
1027,2018,pd,34,politics
1028,2018,rai,30,business
1029,2018,premier,30,politics
1030,2018,fi,23,politics
1031,2018,voto,21,politics
1032,2018,monza,19,business
1033,2018,solo,18,sentiment
1034,2018,consultazioni,17,politics
1035,2018,attacca,16,sentiment
1036,2018,meloni,16,person
1037,2018,foa,16,person
1038,2018,sorrentino,15,person
1039,2018,show,14,legal
1040,2018,patto,13,sentiment
1041,2018,accordo,13,politics
1042,2018,grillo,13,other
1043,2018,nuovo,13,other
1044,2018,sì,13,other
1045,2018,casellati,13,person
1046,2018,milano,12,other
1047,2018,toti,12,person
1048,2018,vertice,11,business
1049,2018,politica,11,politics
1050,2019,salvini,67,person
1051,2019,lega,23,politics
1052,2019,europee,21,location
1053,2019,governo,21,politics
1054,2019,carfagna,21,person
1055,2019,centrodestra,20,politics
1056,2019,fi,17,politics
1057,2019,toti,16,person
1058,2019,mediaset,14,business
1059,2019,processo,14,legal
1060,2019,piazza,13,other
1061,2019,renzi,12,person
1062,2019,partito,11,sentiment
1063,2019,ritorno,10,verb
1064,2019,nuovo,9,other
1065,2019,futuro,9,sentiment
1066,2019,bene,9,politics
1067,2019,ruby,8,person
1068,2019,corsa,8,verb
1069,2019,solo,8,sentiment
1070,2019,escort,8,politics
1071,2019,leader,8,sentiment
1072,2019,maio,8,person
1073,2019,sfida,8,sentiment
1074,2019,pier,8,person
1075,2019,giudici,7,other
1076,2019,voto,7,politics
1077,2019,ter,6,person
1078,2019,bari,6,locatoin
1079,2019,voti,6,politics
1080,2020,salvini,37,person
1081,2020,covid,21,politics
1082,2020,coronavirus,20,politics
1083,2020,fi,16,politics
1084,2020,governo,16,politics
1085,2020,meloni,16,person
1086,2020,monza,13,business
1087,2020,mes,13,politics
1088,2020,positivo,12,sentiment
1089,2020,conte,11,person
1090,2020,zangrillo,11,person
1091,2020,solo,9,sentiment
1092,2020,centrodestra,9,politics
1093,2020,destra,9,politics
1094,2020,pd,8,politics
1095,2020,sì,8,other
1096,2020,chiama,8,person
1097,2020,lega,8,politics
1098,2020,prodi,8,person
1099,2020,regionali,7,location
1100,2020,apre,7,politics
1101,2020,mano,7,other
1102,2020,piazza,7,other
1103,2020,ruby,6,person
1104,2020,marina,6,person
1105,2020,santelli,6,person
1106,2020,mediaset,6,business
1107,2020,nuova,6,politics
1108,2020,fitto,6,person
1109,2020,milioni,5,person
1110,2021,quirinale,62,politics
1111,2021,centrodestra,58,politics
1112,2021,salvini,55,person
1113,2021,colle,39,politics
1114,2021,draghi,37,sentiment
1115,2021,governo,32,politics
1116,2021,meloni,30,person
1117,2021,ruby,26,person
1118,2021,ter,24,person
1119,2021,lega,20,politics
1120,2021,nuovo,18,other
1121,2021,processo,18,legal
1122,2021,milano,17,other
1123,2021,letta,17,business
1124,2021,fi,16,politics
1125,2021,partito,16,sentiment
1126,2021,voto,14,politics
1127,2021,candidato,14,legal
1128,2021,crisi,13,sentiment
1129,2021,prima,12,other
1130,2021,roma,11,other
1131,2021,presidente,11,other
1132,2021,frena,11,person
1133,2021,bene,10,politics
1134,2021,prodi,10,person
1135,2021,destra,10,politics
1136,2021,sì,9,other
1137,2021,torna,9,sentiment
1138,2021,pd,9,politics
1139,2021,unico,9,other
1140,2022,salvini,102,person
1141,2022,meloni,95,person
1142,2022,quirinale,79,politics
1143,2022,governo,70,politics
1144,2022,putin,62,business
1145,2022,centrodestra,46,politics
1146,2022,monza,43,business
1147,2022,draghi,41,sentiment
1148,2022,letta,32,business
1149,2022,fi,28,politics
1150,2022,ruby,28,person
1151,2022,ter,27,person
1152,2022,leader,26,sentiment
1153,2022,colle,25,politics
1154,2022,ritorno,23,verb
1155,2022,renzi,23,person
1156,2022,senato,22,person
1157,2022,fdi,21,politics
1158,2022,elezioni,20,politics
1159,2022,vertice,20,business
1160,2022,fascina,18,person
1161,2022,presidente,18,other
1162,2022,guerra,18,person
1163,2022,caso,17,sentiment
1164,2022,conte,17,person
1165,2022,solo,17,sentiment
1166,2022,milano,17,other
1167,2022,ucraina,17,location
1168,2022,arcore,16,legal
1169,2022,tajani,15,person
1170,2023,meloni,54,person
1171,2023,funerali,35,personal
1172,2023,raffaele,33,person
1173,2023,morte,33,personal
1174,2023,fi,28,politics
1175,2023,milano,22,other
1176,2023,ricoverato,22,verb
1177,2023,fascina,20,person
1178,2023,zelensky,19,person
1179,2023,ruby,19,person
1180,2023,governo,18,politics
1181,2023,salvini,17,person
1182,2023,arcore,17,legal
1183,2023,destra,17,politics
1184,2023,ter,17,person
1185,2023,politica,17,politics
1186,2023,prima,17,other
1187,2023,marina,17,person
1188,2023,paolo,16,person
1189,2023,tajani,16,person
1190,2023,tv,16,other
1191,2023,nuovo,16,other
1192,2023,figli,16,personal
1193,2023,leader,14,sentiment
1194,2023,putin,14,business
1195,2023,renzi,14,person
1196,2023,fdi,14,politics
1197,2023,schlein,14,person
1198,2023,ricovero,14,personal
1199,2023,presidente,14,other
